"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","Pivotable date"
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2005-01,4327,monthly,88.03,2005-01-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2005-01,2559,monthly,95.15,2005-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-01,7343,monthly,87.43,2005-01-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2005-01,4909,monthly,88.24,2005-01-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2005-01,5513,monthly,87.34,2005-01-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2005-02,4790,monthly,89.01,2005-02-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2005-02,2752,monthly,94.28,2005-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-02,7712,monthly,86.47,2005-02-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2005-02,5427,monthly,89.2,2005-02-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2005-02,5700,monthly,88.43,2005-02-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2005-03,5901,monthly,89.23,2005-03-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2005-03,3359,monthly,96.11,2005-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-03,9079,monthly,88.88,2005-03-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2005-03,6491,monthly,89.44,2005-03-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2005-03,7004,monthly,89.34,2005-03-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2005-04,7088,monthly,90.22,2005-04-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2005-04,4117,monthly,98.65,2005-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2005-04,10896,monthly,90.5,2005-04-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2005-04,7712,monthly,90.24,2005-04-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2005-04,8173,monthly,89.73,2005-04-01
