"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","Pivotable date"
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2005-12,11133,monthly,85.4,2005-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2005-12,4704,monthly,95.24,2005-12-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2006-01,8549,monthly,78.41,2006-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-01,10862,monthly,59.54,2006-01-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2006-01,13048,monthly,75.99,2006-01-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2006-01,7861,monthly,85.1,2006-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2006-01,3228,monthly,95.42,2006-01-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2006-02,9137,monthly,78.51,2006-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-02,10885,monthly,59.36,2006-02-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2006-02,13361,monthly,76.22,2006-02-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2006-02,7992,monthly,84.72,2006-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2006-02,3567,monthly,97.11,2006-02-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2006-03,11363,monthly,79.12,2006-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-03,13982,monthly,59.92,2006-03-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2006-03,17079,monthly,76.54,2006-03-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2006-03,10625,monthly,86.28,2006-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2006-03,4663,monthly,98.12,2006-03-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2006-04,10736,monthly,80.36,2006-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-04,11953,monthly,60.93,2006-04-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2006-04,15992,monthly,77.51,2006-04-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2006-04,10445,monthly,87.0,2006-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2006-04,4207,monthly,98.44,2006-04-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2006-05,11940,monthly,81.06,2006-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-05,13349,monthly,61.46,2006-05-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2006-05,17990,monthly,78.71,2006-05-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2006-05,11193,monthly,87.88,2006-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2006-05,4582,monthly,99.19,2006-05-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2006-06,14225,monthly,81.19,2006-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-06,16075,monthly,62.41,2006-06-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2006-06,21344,monthly,79.12,2006-06-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2006-06,13200,monthly,88.96,2006-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2006-06,5755,monthly,101.76,2006-06-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2006-07,13358,monthly,82.81,2006-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-07,16182,monthly,63.02,2006-07-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2006-07,20373,monthly,79.94,2006-07-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2006-07,12863,monthly,89.85,2006-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2006-07,5136,monthly,101.62,2006-07-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2006-08,14018,monthly,83.54,2006-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-08,16833,monthly,63.72,2006-08-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2006-08,22478,monthly,80.43,2006-08-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2006-08,13841,monthly,90.91,2006-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2006-08,5447,monthly,103.0,2006-08-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2006-09,13649,monthly,83.57,2006-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-09,15674,monthly,63.93,2006-09-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2006-09,20639,monthly,81.12,2006-09-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2006-09,12492,monthly,91.07,2006-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2006-09,5482,monthly,102.96,2006-09-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2006-10,13249,monthly,84.13,2006-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-10,15193,monthly,64.32,2006-10-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2006-10,19698,monthly,81.04,2006-10-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2006-10,12448,monthly,92.03,2006-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2006-10,5520,monthly,102.68,2006-10-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2006-11,13097,monthly,84.43,2006-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-11,15230,monthly,64.25,2006-11-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2006-11,19570,monthly,81.75,2006-11-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2006-11,12760,monthly,92.71,2006-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2006-11,5525,monthly,103.97,2006-11-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2006-12,14609,monthly,85.38,2006-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2006-12,15232,monthly,65.66,2006-12-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2006-12,20999,monthly,82.84,2006-12-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2006-12,13258,monthly,93.29,2006-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2006-12,5947,monthly,104.68,2006-12-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2007-01,10032,monthly,85.42,2007-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-01,12794,monthly,66.44,2007-01-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2007-01,15462,monthly,83.27,2007-01-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2007-01,9198,monthly,92.82,2007-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2007-01,3962,monthly,102.65,2007-01-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2007-02,9902,monthly,85.6,2007-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-02,12194,monthly,67.22,2007-02-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2007-02,14947,monthly,83.02,2007-02-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2007-02,8926,monthly,93.46,2007-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2007-02,3750,monthly,105.37,2007-02-01
East of England,http://landregistry.data.gov.uk/id/region/east-of-england,E12000006,2007-03,11926,monthly,86.31,2007-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2007-03,14546,monthly,67.89,2007-03-01
South East,http://landregistry.data.gov.uk/id/region/south-east,E12000008,2007-03,17562,monthly,83.66,2007-03-01
South West,http://landregistry.data.gov.uk/id/region/south-west,E12000009,2007-03,10691,monthly,94.81,2007-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,2007-03,4895,monthly,103.9,2007-03-01
